film.title,author,lead.actor.female,genre,year,rating,content
I Sell the Dead             ,agitpop,,misc,2010,3,"I am a usually a very generous voter on IMDb and don't bother commenting on movies I did not like, but this was just lame. I actually turned it off 15 minutes before finishing it, to watch ""This Is It"" (because my gf wanted to... I just chose the lesser of two evils).If you want to watch this movie: picture this film as a collection of worse-than-average ""horror""-stories, like ""scary short-stories"" that you find in an issue of ""Reader's Digest"" in the waiting room of your dentist's.I did not expect anything particular terrifying or funny, I am not the ""I want to see blood!""-type of person, but this ""movie"" is neither ""horror"" nor ""comedy"" nor entertaining in any other way.It's probably more scary/funny and entertaining to look at the movie-poster of ""You've Got Mail"" for 90 minutes while drinking chamomile tea.Conclusion: a ""horror-comedy"" for people between 4 and 7"
Pathology             ,ezaluvzya,1,crime,2008,1,"I detested this film so much that I've registered as an IMDb user, simply to write this review! What a load of rubbish! It's a shame that the actors went to so much trouble (they all turn in strong performances) because with such a ridiculous, incomprehensible mess of a script, they didn't stand a chance. The characters lack any substance or motivation. Gratuitous sex scenes are simply inserted for the fun of it, with no bearing on the narrative whatsoever. The viewer has no sympathy, empathy or even interest in the useless protagonist Dr Grey, and the end leaves you with a great big sense of ""Okay.. So what?"" The premise sounded terrific, but the execution was a mess. This is no exploration of the dark realms of the human psyche.. It's an implausible load of gory crap. Avoid at all costs."
The Escapist             ,JenEvans1,,crime,2009,10,"This has to be one of the best films I have ever seen! And the surprising thing is, it is not one that I would have wanted to see normally.I tend to like either science fiction, romance, comedies, etc and hardly ever watch prison escape or crime films. I think they're more of a 'man' thing? Anyway, my husband wanted to see this one so I thought I'd show willing, but honestly, I've got to admit, it just blew me away. It was fantastic! I won't go into the plot, suffice to say that it was gripping enough so that after the first few minutes I was totally engrossed. The acting was superb, the characters so vivid and couldn't wait to see how it would all end.And I wasn't disappointed! I honestly never saw that twist at the end coming, I was genuinely shocked. What a great film! If you haven't seen it you absolutely must!"
The Baader Meinhof Complex             ,CKDexter-4,1,misc,2008,7,"The movie of Edel and Eichinger is fine when it comes to sets and costumes. It seems to catch the mood of the late Sixties and Seventies very well. Also the lead actors Bleibtreu, Wokalek and Gedeck have delivered outstanding performances. Too bad, that they don't get a chance to really explore their characters: Too much else is going on in this movie, that completely loses its focus during the last hour. The closer we get to the end, the more it resembles a documentary with a few scenes of play cut in now and then.The viewer is presented with a lot of facts - and violence - but the movie fails in decoding the often cited ""myth"" of the RAF. For example, I've always wondered, whether Baader was just a criminal or really politically motivated. Well, in the first half of the movie, Baader is portrayed as an outlaw, who enjoys provocation and fast cars. Later he delivers sophisticated political statements. A good movie should at least try to explain this development. DER BAADER MEINHOF KOMPLEX doesn't."
Ghost Town             ,andythedarkone,0,misc,2008,3,"I have never fell asleep during a film in the cinema, until i went to see this film, i was fully rested, and drinking coffee! The reason why I saw this film was the lesser of two evils, it was either this or High school musical 3!!! The basic plot for this film is a good idea, original as well, unfortunately the finished result is often boring, pretty grinding, and left you asking some questions. Why would a man whom is not a people person move to one of the most heavily populated cities on earth? Why would a dead man need a mobile phone? How come in the scenes where the main character is walking though the streets talking to dead people / ghost, nobody living whom walks past wondering who is this madman? Does the main character actually succeed?? The film ends pretty badly, and not in a cliffhanger sort of way!This films main problem is Ricky gervais, his acting is not brilliant, admittedly some of the jokes in the film are funny, some of the items discuss are relevant to modern living, but his main fault is the style of humour he uses, which is still 'the office' based, works well for half an hour, doesn't work for a film lasting nearly two hours.This is a film I won't be renting or buying on DVD."
The Burning Plain             ,MaxBorg89,1,misc,2008,8,"Following his artistic divorce from Alejandro Gonzalez Inarritu, writer Guillermo Arriaga, whose Tarantino-inspired interlocked storytelling also formed the basis of Tommy Lee Jones' magnificent The Three Burials of Melquiades Estrada, makes his debut as director with The Burning Plain, another recount of connected fates.Whereas his previous screenplays were male-driven, The Burning Plain stands out for having three women at the center of things: Sylvia (Charlize Theron) is a restaurant owner who, despite what appears to be a relationship with one of her employees (John Corbett), is deeply unsatisfied and spends all of her free time smoking cigarettes and sleeping with other men; Gina (Kim Basinger) is your typical housewife, except she's survived breast cancer and is cheating on her husband (Brett Cullen) with a Mexican man named Nick (Joaquim de Almeida); Mariana (Jennifer Lawrence), Gina's daughter, is probably the most messed up of the three, especially after she starts dating Nick's son Santiago. And finally, remaining on the female front, there's also a little girl, Maria, who travels from Mexico to the United States with a family friend to find her long lost mother.As always with Arriaga, these stories are linked by a tragic event: in Amores Perros and 21 Grams it was a car crash, while in Babel it was a gunshot wound. This time, the connection, though not that obvious, is a burning trailer seen in the first scene of the film. The twist is that the writer/director has gotten more ambitious in telling yet another human tragedy: instead of having a geographic separation between the three plot strands, like he did in Babel, he goes for the most classic of choices, namely time shifts, only those aren't proper flashbacks, and therefore, as one can expect, it takes a while before all the pieces fit together. By choosing this narrative solution Arriaga is trying to tell us he can do just as fine a job as his former collaborator Inarritu behind the camera, but it's hardly a surprise to find out he doesn't always succeed: being a first-time director, he prefers to keep things safe with a classic style rather than adapting some of Inarritu's tricks (most notably the chromatic link between character and mood) to his own vision. And it must be said that a more experienced filmmaker would have known how to avoid the emotional flatness that comes from the few scenes (two or three at the most) where Arriaga panders to the genre's most idiotic clichés (three words: hospital, coma, confession).Overall, however, the narrative is very solid, and having learned a valuable lesson from his past creative partners Arriaga has set up a cast that doesn't really include any big names (Theron notwithstanding) but delivers a string of compelling performances: the most touching turns come from Basinger, always good when playing vulnerable, damaged women, and de Almeida, whose tenderness comes off as a real surprise given his fame (in the US at least) as rough crime lords in Desperado and the third season of 24. Lawrence pulls off her tricky role with a maturity that justifies the Mastroianni Award (i.e. Most Promising Newcomer) she won at the Venice Film Festival. Cullen, Corbett and Danny Pino impress despite the limited screen time at their disposal, and Theron, still partially recovering from the Aeon Flux fiasco, portrays Sylvia with the kind of understated intensity that characterizes her best work.Verdict: if you were unmoved by Inarritu's films, this is not for you. Otherwise, give it a try: it's not as mesmerizing as 21 Grams, but in its best moments it comes close enough."
Frygtelig lykkelig             ,RJBurke1942,0,crime,2014,NA,"Terribly Happy - a purposely reflexive and ironic title - begins by drawing the viewer into the world of Robert (Jacob Cedergren), the young constable who has been transferred to a tiny town in a remote part of Denmark. He is guilty of ... something. ""So - you snapped, eh!"" remarks his superior officer. Hence Robert's transfer is implicitly a punishment of sorts....The town - situated on a bleak, boggy, barren plain - is peopled with a community who quickly show Robert he must adjust to their way of handling troublesome situations: help for a local domestic violence plight of a woman, Ingelise (Lene Christensen), in fear of her husband, Jorgen (Kim Bodnia) and who doubles as the town bully; Robert slaps a young shoplifter to the ground at the urging of the shopkeeper, instead of charging the young offender; he is forced to accept the cat left behind by the previous constable who apparently disappeared - as did the owner of the bicycle shop where Robert goes to have his flat tire repaired. Moreover, washed clothes must hung out only in a certain way.Such confusion just gets worse when the apparently beaten wife seems to want an affair with Robert. He tries to resist, but an unaccountable drive spurs him on to an illicit relationship. Add to that the little girl dressed in red who, every evening, walks her dolls in a squeaky pram up and down the main street. And while the customers at the local bar seem to regard him with reserve, even disdain, a local trio of card players urge Robert to join in to their almost perpetual card playing.Throughout all of this, Robert also attempts to solve the mystery of those who disappear into the local bogs ... or somewhere. A murder, although accidental - or was it? - occurs; and finally Robert tries to protect Jorgen, who is absolutely innocent of the crime, from community retribution.... So, what sort of a community would resort to such a litany of oddball actions? Where, exactly, is this troubling town anyway? And, why does Robert comply - so readily, it seems?The bizarrely confused nature of Robert's situation strongly implies more than simply a lone copper up against a bunch of feral farmers. Exactly what that is, I leave up to each viewer to decide. For inspiration, I'd suggest thinking of Psycho (1960), Spellbound (1945), particularly Lost Highway (1997), Bug (2006) and Shutter Island (2010), all of which center upon a character in the grip of a psychological nightmare.The acting is adequate, as is the production. Kim Bodnia is always effective in creepy roles - or any role, in fact. The structure and direction are suitable for the development of occasional suspense and muted terror. Only the ending lacks real punch, but does provide adequate resolution for me.While I'm not terribly happy about this outing, I still recommend it for those who like, as I do, Danish drama. Give it six out of ten.September 6, 20"
The Secret Life of Bees             ,reelinspiration,1,drama,2008,9,"Writer/Director Gina Prince-Bythewood, winner of the Independent Spirit Award for Sundance hit, ""Love & Basketball,"" has now brought the beloved, acclaimed best-seller, ""The Secret Life of Bees"" to the screen.1964, South Carolina. Lily Owens (played with open-eyed honestly by Dakota Fanning) is raised in a loveless home by her cruel, distant father. Fourteen year old Lily longs for a mother she never knew. When her only friend, their black maid Rosaleen, is assaulted in a racist incident, the girls are forced to go on the run. Lily and Rosaleen end up on the doorstep of the Boatwrights, the black sisters who own a successful honey farm. Lily concocts an elaborate lie to persuade the maternal August Boatwright (played with warm dignity by Queen Latifah) to temporarily take them in. They are met with some resistance from the guarded June (Alicia Keys), a classical cellist and civil rights activist. But they are welcomed enthusiastically by the open-hearted May (played with touching vulnerability by Sophie Okonedo). They soon find that hyper-sensitive May is moved to tears by the mention of anything sad.August teaches Lily how to tend the bees, and May whole heartedly embraces both girls. They are soon accepted as part of the family. But Lily still needs to find the truth of why her mother left her.This is a coming of age story and parable about how to cope with the painful truth and find forgiveness. As Lily's young love interest puts it, ""It's not just about the truth. It's about what you do with it."" The two sisters illustrate different ways to deal with the hard truths of life. June has closed her heart and built a protective wall to keep out hurtful emotions. While May has completely opened her heart and feels everyone's pain. Her heart is open to joy but it is also an open wound. I loved being in this world and a part of this loving family - so much that I stayed for a second screening. This is due in part to Gina Prince-Bythewood's excellent adaptation and the wonderful acting of Dakota Fanning, Queen Latifah, and especially Sophie Okonedo - who is literally the heart of the film.If you're looking for a sweet way to spend the afternoon, ""The Secret Life of Bees"" will supply the honey.Movie blessings! Jana Segal reel inspiration dot blogspot dot com"
The Strangers             ,J_M_Kiff,,horror,2008,1,"*** Warning *** Spoilers *** For such a short film, this managed to cram in every senseless cliché of the so-called horror genre. '...Girl runs from bad guys, girl trips, girls falls and hurts herself, girl whimpers, duh...' No character development, no depth, no sympathy for the characters. '... bad guys are harassing your house and threatening you, so OF COURSE you get hysterical, cry, and seek out every spooky noise...' So bad guys are hacking at your front door with an ax, you've got a loaded shotgun in your hand, but you don't shoot, you throw a chair at the door, Oh Wait, I've got a gun! But by the time you think to shoot the bad guys are gone. So your under attack from bad guys and it's just you, your girlfriend, and a loaded shotgun, so instead of hunkering down and letting them come to you to get shot, you leave your girlfriend alone in the un-secured house while you wander off to the tool shed to find and old ham radio. Sure, makes sense. So you go visit your friends and someone shoots out your windshield, do you: A- drive off fast and call 911, B- call 911 then run in the house to check on your friends, or C- dust yourself off, sneak into the house quietly, without ever bothering to wonder why your friend's car is wrecked, who's pickup truck that is, why the house is trashed, don't bother turning off the loud stereo, or calling out your friends' names, in fact don't even bother to look behind you to see if maybe the people who shot out your windshield are still around. That's right - C !?!Everyone who died in this movie deserved to die for being such mindless, spineless, insipid, whimpering idiots. Maybe if you've never seen a movie before, ever, or if you've had recent head trauma, or maybe if you're Amish this movie might scare you. Maybe. Don't waste your time or money.REVISION::: it's now Sunday 6/1. I originally posted the above comment after an advance screening of this movie late-night on thursday 5/29 (because I work at a movie theater I get to see all the movies before they're released.) So I've noticed something peculiar... there are, as of now, about 8 pages of comments on this film. About 3 pages of comments before mine (meaning before the movie came out) all gave The Strangers 9 or 10 stars, glowing reviews, and taglines like ""best horror movie ever,"" ""scariest film ever,"" and ""awesome."" But then, if you look at the dates of submission, 95% of all the comments posted after the movie was released say it's lackluster at best, anticlimactic, boring, lame, and not worth watching. So, I wonder, is that a coincidence, or maybe, just maybe, were all those people who posted great comments prior to the movie's release doing it for some other reason? Were they being paid to hype the film? Do they work for the production company? Or is it all just a big coincidence? Hmmm.... 4"
Adoration             ,larry-411,0,drama,2008,10,"""Adoration"" is, at its heart, a coming-of-age story. It's about that time of self-discovery when the question ""who am I?"" becomes an obsession. But what makes this film so startlingly refreshing is that it also has a classic structure rarely seen in contemporary cinema. The viewer is never quite sure whether or not the images on screen are real or imagined. Think of a chess game where each move prompts you to replay the entire game in your head. Such is the experience of watching ""Adoration,"" brilliantly conceived and executed by writer/director/co-producer Atom Egoyan.Egoyan is a legend in his adopted country of Canada with dozens of awards and nominations to his credit (1997's ""The Sweet Hereafter"" earned him Oscar noms for writing and directing). The mere mention of his name widens the eyes of citizens north of the border, as I learned here at the Toronto International Film Festival, where I attended the film's North American Premiere (it debuted at Cannes, where it was nominated for the prestigious Palm D'Or). Locals hold him to a very high standard. For me, I prefer going in cold, knowing as little as possible about a film. Similarly, I won't reveal much about the story here.After losing his parents under questionable circumstances, Simon (Devon Bostick) is reluctantly being raised by his Uncle Tom (Scott Speedman). Simon's memories of his mother Rachel (Rachel Blanchard), an accomplished violinist, and father Sami (Noam Jenkins) are shrouded in mystery. Enter Simon's teacher Sabine (Arsinée Khanjian), who might be able to help Simon unlock the secrets that are the key to his youthful confusion. What follows is a brain teaser which takes great concentration. The wheels are always turning, and the viewer is constantly challenged to figure out exactly what is real or perceived, and by whom.The look of the film enhances the mystery inherent in the story. The use of single-point lighting allows shadows to fall upon already-obscure settings. Music is essential to the plot and, as such, Rachel's violin virtuosity is extended to a string soundtrack that is as haunting as the film itself. Paul Sarossy's cinematography is cleverly integrated with composer Mychael Danna's soundtrack, with tracking shots set to music as a visual ballet. Editor Susan Shipton had a tall order working with Egoyan to craft a virtual puzzle in which nothing is at it seems.Speedman ably plays the father figure who isn't quite ready to take on the task of raising a teen but does so out of loyalty to his late sister. Khanjian's Sabine is simply chilling and central to the power of the film. Blanchard is a joy to watch -- simply an angel on screen (and shot that way, to boot) -- and Jenkins successfully remains an enigmatic personality throughout. But, most of all, this is Bostick's film to carry on his young shoulders. Appearing in almost every scene, it's his curiosity and angst which drive ""Adoration,"" and it's our empathy for him (weren't we all Simon once?) that gives the film its heart and soul. Bostick is one of Canada's most prolific young actors (he co-starred in Citizen Duane, one of my Top Picks from the 2006 festival) and will hopefully be introduced to a wider audience if this film gets the distribution it deserves.The moment the credits began to roll I wanted to see ""Adoration"" again. If there were back-to-back screenings I would have remained in my seat. This is the first film in recent memory which has had that effect on me. There's nothing more exciting and intriguing than a film that plays with space and time, where perception matters more than anything else. What we see on screen vs. what is in our heads -- the spaces we fill with our own thoughts -- are artfully juggled by Egoyan and the result is simply a masterpiece."
"Surfer, Dude             ",EChicoine,0,comedy,2009,1,"The abortion of thought that went into this film will shock and astonish you. For Mathew McConaughey, studying a role requires little more than his imagination. Rather than given an insightful view of a surfer's life, the audience is simply subjected to an hour and a half of what McConaughey THINKS is a lifestyle that everyone will fall in love with.Surfer Dude lacks all logic and structure. There is not enough substance here for a full movie, and yet, somehow, they managed to record SOMETHING for 85 minutes. The level of contempt McConaughey has shown for his audience is appalling.The movie starts out giving you the gut feeling that they are faking it, that they are some how cheesing it up to make fun of a horrible stereotype. Very quickly you find out that they are absolutely serious, and like a child finding out Santa isn't real, all hopes for a decent movie are lost.About half way through the film, the faint whispers of a plot start to shine through like sunlight in deep water, then the big dark rain cloud that is McConaughey moves in. Isn't there a definition for what a movie is? Simply recording onto 85 minutes of film does not constitute ""movie."" We're trying to have a civilization here Mathew! From this point on, I am avoiding all McConaughey movies. I will no longer waste my life on truly horrendous trash like Surfer Dude. On my death bed, I will say, ""I wish I never saw surfer dude with Mathew McConaughey."" and my kids and grand kids will all say ""Who's Mathew McConaughey?"""
The Merry Gentleman             ,anhedonia,,crime,2009,8,"I have a confession: I adore Kelly Macdonald's Scottish accent. It makes me go all weak in the knees, sends my heart aflutter.She is the reason I went to see ""The Merry Gentleman."" I like Michael Keaton, too, and thought his performance in ""Game 6"" (2005) was exceptionally good. I wasn't too sure how good a director he would be, but after watching ""The Merry Gentleman,"" I can safely say that Keaton is a very good filmmaker.The story of ""The Merry Gentleman"" could very well point to all the trappings of a formula: An abused woman inadvertently sees a hit man and then he befriends her with obvious intent.Given filmmakers' penchant these days to turn this sort of subject matter into yet another Tarantino or Guy Ritchie clone, the calmness with which ""The Merry Gentleman"" unfolds comes as a wonderful surprise.I realize that film-goers who want to see every hit man movie turned into another fast-talking Tarantino imitation might be sorely disappointed or even bored by ""The Merry Gentleman."" This film takes its time. It's in no hurry to get where it's going and it doesn't pander to its audience with needless bloodshed, non sequitur riffs or slam-bang car chases. This film might be about a hit man and the witness, but it is not an action film. This really is a splendid character study, paced deliberately so that we would get to know, understand, appreciate and grow to love these people.This film relies on its two main characters, Frank (Keaton) and Kate (Macdonald), to carry the film. And these two fine actors do not disappoint. Their scenes together are strikingly powerful, even when they say little. And there are many such moments in this film. Even their meet-cute, which could very well have turned into a typically corny moment, is handled with grace, charm and just enough humor to make you smile.This is a drama about human connections, more than anything else. An unconventional love story as Frank and Kate, a depressed professional killer and the mousy abused woman, slowly work their way through each other lives, through the uncomfortable moments, trying to steal moments they can share.Keaton could very easily have played Frank for a chuckle or two, given him a frenetic edge, as he often has in films. Instead, he plays him low-key. Perhaps too low-key, some could argue, but that is what I loved about his character. He really is more than a man struggling with the morality of what he does; he's a man struggling with life and all its vagaries. What he does for a living seems almost inconsequential to his struggles. Keaton finds the fine edges to his character and realizes there's more to reveal in what Frank doesn't say than in what he does. There's nothing false about Frank's weariness or sadness. This is truly a finely-tuned and subtle performance by Keaton - one of his very best.Macdonald is completely charming as Kate. Her glorious accent aside, she brings a delightful sweetness to her role. This is a real woman with genuine problems and we understand Frank's desire - and even need - to take care of her. She has suffered much and it all seems so unfair that such a creature would be in such pain. Macdonald is marvelous. She has always been a remarkably astute actress capable of immediately drawing the audience to her. Just watch her in ""The Girl in the Cafe"" (2005) and you will promptly fall in love with her. She also gave the severely under-praised performance in ""No Country For Old Men"" (2007). This is yet another wonderful performance from a terribly under-appreciated actress. Macdonald never disappoints.There are two fine supporting performances - from Bobby Cannavale as Kate's husband, and Tom Bastounes, as a cop investigating Frank's killings and also harboring a crush on Kate. Cannavale's outburst seems a bit noisy for a film this solemn, but he makes it work. And Bastounes, as a not-too-tidy cop, is just priceless. His dinner scenes with Kate contain terrific bits of acting.At a time when ""Transformers: Revenge of the Fallen,"" ""Terminator Salvation,"" ""Public Enemies"" and other Hollywood films gain all the attention, it is too bad that a film such as ""The Merry Gentleman"" seemingly just gets lost in the shuffle.This is a gem of a film. It is not for anyone seeking an adrenaline rush. But is for those seeking a tender, sweet, deeply moving, at times startling film about deeply damaged people and their attempts to find some sort of solace, happiness and meaning in this life. ""The Merry Gentleman"" is a richly rewarding experience for those who appreciate good movies."
The Lucky Ones             ,RolyRoly,,adventure,2009,7,"I had tickets for this at the Toronto International Film Festival last summer but was side-tracked by an obscure little film called Slumdog Millionaire instead, so only got around to watching it last night on pay-per-view. In a strange way, the two films have a good deal in common. In an era in which everyone seems to want either tense thrillers, puerile comedies or awesome special effects (the only one here, as has been pointed out, is a cheaply put together tornado), both movies offer little more than a thoroughly improbable plot and a focus on character development. But both work remarkably well. I am puzzled by those who found that the movie dragged. While most of the plot development was telegraphed not once but several times, the acting from all three leads was both believable and very deft. At first I thought that Rachel McAdams' character was simply too naive to be true but it soon became apparent that she was much wiser than we (or even she) knew. She plays it beautifully. Tim Robbins is wonderful too, and rather pathetic, in a down-to-earth role as an aging war veteran, happy to have survived and soon to be confronted with some harsh realities. But Michael Pena was the real surprise. He is completely captivating in his portrayal of a proud young vet from a military family on his way to meet his girlfriend, with his masculinity compromised by a war injury. His character is the most subtly poignant as he confronts his own fears about his manhood, on several levels.Like all movies based on the Iraqi war, this seems to suffer from America's desire to ignore the war altogether, just as they ignored the Vietnam veterans a generation ago (Coming Home, The Deer Hunter). America seems to be much less willing to address its failures now than it was then, or even the lesser failures in the wake of World War I"
The Yellow Handkerchief             ,tieman64,0,adventure,2013,NA,"""The Yellow Handkerchief"" is an excellent drama by Udayan Prasad. Low key, sensitive and gentle, the film watches as ex-convict Bretty Hanson (William Hurt) embarks on an impromptu road-trip with two troubled teens. The trio travel across post-Hurricane Katrina Louisiana, hoping to locate Hanson's long-lost love. If she wants to reconcile with him, she'll tie yellow handkerchiefs on her moored boat as a signal. If not, Hanson's to keep moving on.The film uses flashbacks to delve into Hanson's past life. Through these, we learn why he was incarcerated and why he and his lover, played by Maria Bello, split. The couple's relationship is mirrored to that of the film's two teenagers (Kristen Stewart and Eddie Redmayne), both of whom are social outcasts, alienated and looking for acceptance. The film's romance between Stewart and Redmayne is rushed and unconvincing. Prasad would have done better to keep things platonic.Bello and Hurt make up for this, though, with a couple strong performances. Hurt imbues his character with a quiet suffering, a sense of perpetual tiredness, whilst Bello's feisty, fiery but deeply scarred. Elsewhere the film abounds with strong, quiet moments. Consider how, when released from his prison cell, Hurt says goodbye to fellow in-mates, how he later savours his first beer in years, and how a near-worldless scene introduces him to Kristen Stewart's young character. Only in ""Handkerchief's"" final act does director Udayan Prasad abandon nuance. The rest of the film plays like a well filmed short story.No surprise, then, that the film's story was based on a famous folktale. This tale was then turned into a short story by Pete Hamill, and also a famous, now-classic song called ""Tie A Yellow Ribbon Round the Ole Oak Tree"", sung by Dawn and Tony Orlando.8.5/10 - Worth two viewings. See ""Frozen River"" and ""Everything Must Go"
Wendy and Lucy             ,commandercool88,1,drama,2009,8,"Is there no more great frontier? Has time run out on those who look west to a better tomorrow? 'Wendy and Lucy' is a small movie with its scope set on a larger, subtle target. Soft-spoken but very admirable, Kelly Reichardt has crafted a touching story of one girl's endless search for her dog.On the road to Alaska in search for better economic opportunity, Wendy finds herself in a small Oregon town where its citizens seem to live on the fringe of poverty long after job-providing factories have closed up shop. Keeping track of every penny she spends, Wendy's car suddenly won't start. And after an attempt to shoplift a bit of food sidelines her, she loses track of Lucy. A dog, a companion, and her best friend.A determined Wendy searches for Lucy in every nook and cranny. Played by a quiet Michelle Williams, this is a subdued performance but a strong one. A portrait of loneliness, of heartbreak. She lives a life far from fortunate, but she holds her head high and looks to Alaska for hope. And in a small neighborhood where her situation seems to only go from bad to worse, Wendy has nobody to rely on but a friendly elderly security guard. Giving her a sense of moral support she probably is in desperate need for, we expect emotion. But staring panic in the face, Wendy remains strong. Her first moment of visible emotional anguish and vulnerability comes after a terrifying encounter in a forest in the middle of the night. A glimpse into her future as a vagabond? 'Wendy and Lucy' comes at a time when our own economy is in a state of perpetual free fall, which helps Reichardt drive her timely message home. It is these often seemingly mundane and unimportant everyday activities that may cause the film to drag, though it comes in at a slim 80 minutes. But it is these events that help the film and Williams find personality. 'Wendy and Lucy' asks us to be strong, to stick with our character. And it offers an ending that will pull at the heartstring of even the most hardened cynic. A tough, very challenging situation you and I would never want to find ourselves in. It speaks of conviction, of doing the right thing even when it's impossibly difficult.Raw but surprisingly gripping, Reichardt does much with little. It's a touching picture, a bittersweet one. 'Wendy and Lucy' may feel minor, but it's a fine piece of beautifully told cinema. A snapshot that gains more appreciation upon reflection.More reviews: rottentomatoes.com/vine/journal_view.php?journalid=219276&view=public"
Hancock             ,The_Dead_See,0,action,2008,8,"I've read a lot of the reviews here complaining about the film flagging in its final act. I respectfully disagree.Hancock is most definitely DIFFERENT in it's last half - it drops off the comedy significantly and introduces some fascinating superhero mythology that is almost like an ancient Greek myth in its context. It also introduces some pretty tense and violent moments that really made me wonder if they should be marketing it as the kid-friendly summer blockbuster that they are. However, both halves have their own merits - the first being the humour, and the second being the (almost tragic) origin mythos. I suspect if you are prepared for the switch in tone, rather than shocked when it arrives, you might enjoy Hancock as much as I did. 2"
The Women             ,katiemeyer1979,1,comedy,2008,4,"Insane really. Even if you haven't seen the original George Cukor movie with Norma Shearer, Joan Crawford, Rosalind Russell, Paulette Goddard, Joan Fontaine and a cast of a thousand other stars you may dismiss this forced, politically correct, depressing comedy. Depressing for many different reasons. Meg Ryan for one. What has she done to herself? Her face can hardly move. That alone puts her miles away from Norma Shearer. Annette Bening should be suing the DP and Debra Messing, what the hell was she doing here? Actresses with no connection in the public's subconscious trying to pass for friends, totally unconvincingly. Eva Mendes in the Joan Crawford part is an outrageous piece of miscasting. What a terrible idea! Her character is like a trans-gender performer without any taste or subtlety. Bizarre to think that a woman adapted and directed this women.The only positive things I can mention are a short but very funny appearance by Bette Midler and Cloris Leachman as the housekeeper. 1"
What Happens in Vegas             ,Terryfan,1,comedy,2015,7,Despite some bad rap this film is not really bad it just needs to be watch to understand.What Happens In Vegas centers around Joy McNally (Played by Cameron Diaz) who travels to Las Vegas after being dumped by her fiancé Mason (Played by Jason Sudeikis) with her best friend Tipper (Played by Tipper)Where the same time Jack Fuller (Played by Ashton Kuctcher) and Hater (Played by Rob Corddy) his best friend and Lawyer after Jack was fired by his boss/father Jack Fuller Sr (Played by Treat Williams). Unaware Joy and Jack ended up in the same room and end up after a one night stand getting married and when Jack used her quarter to win 3 million dollars. The Judge order them to make their marriage or they will never seen a dime of the money.Which of course leads up to a series of events in the marriage. Now the story is interesting and in a way original considering plus they have several creative humor in the film which makes you roll on the floor laughing and find yourself repeating.Ashton and Cameron make for a interesting on screen couple through out the film and they do very well with making us laugh. Lake makes for a interesting best friend as does Rob.The songs used in the film work as well as it helps the story in terms of story telling. The film is just not a classic but it is not a bad one either it is just one you have to watch to understand.It has a original plot with some good performance from Ashton and Cameron so if you're curious give it a try.I give What Happens In Vegas an 7 out of 
College Road Trip             ,cj2015,1,adventure,2008,10,"This movie was so wonderfully refreshing. Martin shined. He is such a wonderful comedian. All of the cast was excellent...I totally enjoyed Donny Osmond. Dads really needed this...As I mom...I witnessed first hand my hubby struggling to let go. This movie would have helped that poor man tremendously....smile...and me too...because he almost drove me crazy!!...smile....I especially appreciated the diversity in this movie...nearly every people group was represented. Raven is so talented, and the little brother is was so cute...The pig, halariuos, and Martin's wife is one funny lady. She is new to me, but I laughed just as hard when she was featured in Reno 911 and also curve your enthusiam....This movie made me happy and belly laugh out loud...Thanks Disney for recognizing the talent of all of the cast. There is bonus footage at the end that will crack you up!cjEureka www.cjeureka.com"
La siciliana ribelle             ,sergepesic,1,crime,2012,NA,"Sicily and mafia. It would be a first thought an average person would have, however unjust or unfair it might be. "" The Sicilian Girl"" is a strange, a bit clunky movie, torn between the court drama and passionate bloody opera. The medieval, macabre, isolated world of rural Sicily, with its outdated sense of honor and codes of conduct, that nobody else would understand or relate to. The heroine of this movie is a strong willed, privileged young woman, trying to avenge the death of her father and brother. Gradually, she manages to accept the fact that they both, were criminals, like the people she hated. The movie is missing something hard to explain,firmer shape, and there is a bad choice of casting the unfortunate leading actress prone to overactin"
Yes Man             ,freddy_at_home,0,comedy,2008,10,"First of all I would like to say that this movie might seem like Liar Liar at first sight, but it is not!I think this movie is both funny and sweet. What if one word could change everything? I found myself wondering this after leaving the cinema, and I left it with a satisfied feeling of quality.This is the best Jim Carrey movie I have seen in years. I really enjoyed it and so did the rest of the audience too...And I love the soundtrack on this, the song he has as a ring-tone, Journey - Separate Ways (Worlds Apart) is great, fantastic! I feel real good when I heard it, and the movie made me smile, but not just smile, also feel something! I felt real joy!!I must congratulate the director and the cast for a job well done! You made a movie that really works, and for that I am grateful! Good movies are rear these days. 9/10 for me, will buy it on blue-ray when it comes."
Forgetting Sarah Marshall             ,Pavla_M,1,comedy,2009,1,"I gave this movie a chance only because it had very good reviews. After seeing the trailer I thought - what an unfunny movie full of clichés. But I decided to give it a shot because trailers often don't portray the movie very well. What a waste of time... The movie is worst than the trailer and after spending 2 hours watching it, I couldn't recall one single line that made me laugh. The funniest parts of the movie were the CSI parodies, but that also is pretty passé. I couldn't relate to any of the characters nor hope that they will be together, because I found them utterly stupid. The plot is extremely predictable and inconclusive. Unintelligent comedy for people who are either still in high school or feel that way mentally."
